Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP,DIFF_CORE0_ENERGY (J),CORE0_POWER (W),DIFF_CORE1_ENERGY (J),CORE1_POWER (W),DIFF_CORE2_ENERGY (J),CORE2_POWER (W),DIFF_CORE3_ENERGY (J),CORE3_POWER (W),DIFF_CORE4_ENERGY (J),CORE4_POWER (W),DIFF_CORE5_ENERGY (J),CORE5_POWER (W),DIFF_CORE6_ENERGY (J),CORE6_POWER (W),DIFF_CORE7_ENERGY (J),CORE7_POWER (W),DIFF_CPU_ENERGY (J),CPU_POWER (W)
0,0,9575.22085571289,3366.6666666666665,1,0.0562499999999999,9575.22085571289,3366.6666666666665,1,0.0562499999999999,19411.339111328125,5050.0,0,0.0562499999999999,19411.339111328125,5050.0,0,0.0562499999999999,8864.185668945312,3366.6666666666665,1,0.0562499999999999,8864.185668945312,3366.6666666666665,1,0.0562499999999999,19263.98376464844,3366.6666666666665,1,0.0562499999999999,19263.98376464844,3366.6666666666665,1,0.0562499999999999,181243.5368652344,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0.0,0.0,0.0,4.1666669845581055,4.34782600402832,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.1666669845581055,0.0,0.0,0.0,16001761280,4294963200,3695579136,754307072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0,9575.257598876951,3350.0,1,0.0625,9575.257598876951,3350.0,1,0.0625,19411.34393310547,5025.0,0,0.0625,19411.34393310547,5025.0,0,0.0625,8864.185760498047,3350.0,1,0.0625,8864.185760498047,3350.0,1,0.0625,19263.983978271484,3350.0,1,0.0625,19263.983978271484,3350.0,1,0.0625,181243.55940246585,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0.0,0.0,0.0,4.1666669845581055,4.34782600402832,0.0,0.0,0.0,0.0,100.0,0.0,0.0,4.1666669845581055,0.0,0.0,0.0,16001761280,4294963200,3695579136,754307072,0.03674316406068101,0.18371582030340505,0.03674316406068101,0.18371582030340505,0.00482177734375,0.02410888671875,0.00482177734375,0.02410888671875,9.1552734375e-05,0.000457763671875,9.1552734375e-05,0.000457763671875,0.0002136230432370212,0.001068115216185106,0.0002136230432370212,0.001068115216185106,0.0225372314453125,0.1126861572265625
199,200,9575.304092407228,3416.6666666666665,1,0.0562499999999999,9575.304092407228,3416.6666666666665,1,0.0562499999999999,19412.11846923828,5125.0,0,0.0562499999999999,19412.11846923828,5125.0,0,0.0562499999999999,8864.209518432617,3416.6666666666665,1,0.0562499999999999,8864.209518432617,3416.6666666666665,1,0.0562499999999999,19264.00756835937,3416.6666666666665,1,0.0562499999999999,19264.00756835937,3416.6666666666665,1,0.0562499999999999,181246.40200805664,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3695837184,754307072,0.04649353027707548,0.23363583053806772,0.04649353027707548,0.23363583053806772,0.7745361328125,3.892141370917085,0.7745361328125,3.892141370917085,0.0237579345703125,0.11938660588096733,0.0237579345703125,0.11938660588096733,0.02359008788698702,0.11854315521099006,0.02359008788698702,0.11854315521099006,2.8426055907912087,14.284450204980947
199,401,9575.320281982422,3400.0,1,0.0374999999999998,9575.320281982422,3400.0,1,0.0374999999999998,19413.01838684082,5100.0,0,0.0374999999999998,19413.01838684082,5100.0,0,0.0374999999999998,8864.223526000977,3400.0,1,0.0374999999999998,8864.223526000977,3400.0,1,0.0374999999999998,19264.03649902344,3400.0,1,0.0374999999999998,19264.03649902344,3400.0,1,0.0374999999999998,181249.31982421875,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.36842346191406,0.0,0.0,0.0,0.0,0.0,0.0,16001761280,4294963200,3695837184,754307072,0.01618957519349351,0.08135464921353522,0.01618957519349351,0.08135464921353522,0.8999176025390625,4.522199007733982,0.8999176025390625,4.522199007733982,0.014007568359375,0.07038979075062814,0.014007568359375,0.07038979075062814,0.028930664069775958,0.14538022145616059,0.028930664069775958,0.14538022145616059,2.917816162109375,14.662392774418969
199,601,9575.644592285156,3333.333333333333,1,0.1374999999999999,9575.644592285156,3333.333333333333,1,0.1374999999999999,19413.294723510742,3333.333333333333,1,0.1374999999999999,19413.2947845459,3333.333333333333,1,0.1374999999999999,8864.47348022461,3333.333333333333,1,0.1374999999999999,8864.47348022461,3333.333333333333,1,0.1374999999999999,19264.39222717285,3333.333333333333,1,0.1374999999999999,19264.39222717285,3333.333333333333,1,0.1374999999999999,181253.87713623047,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,0.0,15.000000953674316,15.789472579956056,0.0,15.000000953674316,5.0,10.0,0.0,5.263157844543457,13.636363983154297,5.263157844543457,10.526315689086914,15.789472579956056,5.0,5.263157844543457,4.761904716491699,16001761280,4294963200,3696586752,754307072,0.324310302734375,1.6297000137405777,0.324310302734375,1.6297000137405777,0.276336669921875,1.3886264820194723,0.276397705078125,1.3889331913473617,0.2499542236328125,1.2560513750392588,0.2499542236328125,1.2560513750392588,0.3557281494104245,1.7875786402533895,0.3557281494104245,1.7875786402533895,4.55731201171875,22.901065385521356
199,801,9575.673049926758,3300.0,1,0.28125,9575.673049926758,3300.0,1,0.28125,19413.76544189453,4950.0,0,0.28125,19413.76544189453,4950.0,0,0.28125,8864.514678955078,3300.0,1,0.28125,8864.514678955078,3300.0,1,0.28125,19264.938919067383,4950.0,0,0.28125,19264.938919067383,4950.0,0,0.28125,181256.51908874512,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.000000953674316,5.263157844543457,0.0,0.0,10.0,10.526315689086914,0.0,0.0,16001761280,4294963200,3465916416,754307072,0.0284576416015625,0.14300322412845476,0.0284576416015625,0.14300322412845476,0.4707183837890625,2.3654190140153895,0.4706573486328125,2.3651123046875,0.04119873046875,0.20702879632537688,0.04119873046875,0.20702879632537688,0.54669189453125,2.747195449905779,0.54669189453125,2.747195449905779,2.6419525146484375,13.27614328969064
199,1001,9575.9521484375,3350.0,1,0.20625,9575.9521484375,3316.6666666666665,1,0.20625,19414.107620239258,3316.6666666666665,1,0.1937499999999998,19414.107620239258,3316.6666666666665,1,0.1937499999999998,8864.719711303711,3316.6666666666665,1,0.1937499999999998,8864.719711303711,3316.6666666666665,1,0.1937499999999998,19266.559814453125,4975.0,0,0.1937499999999998,19266.559814453125,4975.0,0,0.1937499999999998,181260.51712036133,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,14.285715103149414,0.0,15.000000953674316,0.0,5.0,0.0,19.0476188659668,9.523809432983398,5.263157844543457,0.0,5.0,9.090909004211426,75.0,5.0,5.0,4.761904716491699,16001761280,4294963200,3568091136,754307072,0.2790985107421875,1.4025050791064697,0.2790985107421875,1.4025050791064697,0.3421783447265625,1.7194891694802135,0.3421783447265625,1.7194891694802135,0.2050323486328125,1.0303133097126256,0.2050323486328125,1.0303133097126256,1.6208953857421875,8.145202943428078,1.6208953857421875,8.145202943428078,3.9980316162109375,20.090611136738378
199,1201,9576.362243652344,4800.0,0,0.3187499999999998,9576.362243652344,4800.0,0,0.3187499999999998,19415.307678222656,3200.0,1,0.3187499999999998,19415.307678222656,3200.0,1,0.3187499999999998,8865.426055908203,4800.0,0,0.3187499999999998,8865.438201904297,4800.0,0,0.3187499999999998,19268.20167541504,4800.0,0,0.3187499999999998,19268.20167541504,4800.0,0,0.3187499999999998,181265.83683776853,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,23.809524536132812,0.0,38.0952377319336,5.0,15.000000953674316,4.761904716491699,5.263157844543457,0.0,45.0,0.0,25.0,0.0,65.0,0.0,10.0,0.0,16001761280,4294963200,3640336384,754307072,0.41009521484375,2.0607799740891957,0.41009521484375,2.0607799740891957,1.2000579833984375,6.030442127630339,1.2000579833984375,6.030442127630339,0.7063446044921875,3.5494703743326004,0.7184906005859375,3.6105055305826004,1.6418609619140625,8.250557597558103,1.6418609619140625,8.250557597558103,5.319717407197459,26.73224827737416
199,1401,9577.815872192385,4850.0,0,0.26875,9577.815872192385,4850.0,0,0.26875,19416.85693359375,4850.0,0,0.26875,19416.85693359375,4850.0,0,0.26875,8866.746765136719,4850.0,0,0.26875,8866.746765136719,4850.0,0,0.26875,19269.896514892574,4850.0,0,0.26875,19269.896514892574,4850.0,0,0.26875,181274.241607666,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,47.36842346191406,42.105262756347656,33.333335876464844,75.0,31.57894515991211,15.000000953674316,45.0,25.0,55.0,40.0,35.0,42.105262756347656,42.105262756347656,52.6315803527832,30.000001907348636,20.0,16001761280,4294963200,3749191680,754307072,1.4536285400408815,7.304666030356188,1.4536285400408815,7.304666030356188,1.54925537109375,7.785202869817839,1.54925537109375,7.785202869817839,1.320709228515625,6.636729791535804,1.308563232421875,6.575694635285804,1.6948394775354245,8.516781294147862,1.6948394775354245,8.516781294147862,8.404769897460938,42.23502461035647
199,1601,9578.662231445312,3183.333333333333,1,0.3187499999999998,9578.662231445312,3183.333333333333,1,0.3187499999999998,19418.445114135742,4775.0,0,0.3187499999999998,19418.445114135742,4775.0,0,0.3187499999999998,8867.499435424805,3183.333333333333,1,0.3187499999999998,8867.499435424805,3183.333333333333,1,0.3187499999999998,19271.66627502441,4775.0,0,0.3187499999999998,19271.66627502441,4775.0,0,0.3187499999999998,181281.53616333008,400,400,3592,400,3480,400,400,400,400,5085,3947,400,3613,400,400,3419,26.3157901763916,27.272727966308597,5.263157844543457,76.19047546386719,25.0,15.789472579956056,25.0,10.526315689086914,27.77777862548828,63.15789031982422,25.0,10.0,15.000000953674316,100.0,25.0,15.000000953674316,16001761280,4294963200,3832451072,754307072,0.8463592529278685,4.253061572501852,0.8463592529278685,4.253061572501852,1.5881805419921875,7.9808067436793335,1.5881805419921875,7.9808067436793335,0.7526702880859375,3.7822627542006906,0.7526702880859375,3.7822627542006906,1.7697601318359375,8.893266994150439,1.7697601318359375,8.893266994150439,7.294555664091604,36.656058613525644
